id_transacao;data_transacao;cpf_aluno;nome_aluno;plano_adquirido;cep_cobranca;valor_brl
TX-50000;2024-08-23;209.579.073-11;Aluno_Tech_1170;Básico;60060440;49,90
TX-50001;08/09/2024;063.494.290-52;Aluno_Tech_2496;Básico;60060440;49,90
TX-50002;30/08/2024;717.318.939-06;Aluno_Tech_1392;Premium;50010000;99,90
TX-50003;2024-05-08;173.936.385-09;Aluno_Tech_250;Básico;90010150;49,90
TX-50004;08/02/2024;24837444199;Aluno_Tech_2499;Básico;70040010;49,90
TX-50005;2024-07-04;215.649.525-41;Aluno_Tech_2391;Anual;70040010;899,00
TX-50006;23/11/2024;238.687.906-24;Aluno_Tech_2433;Básico;50010000;49,90
TX-50007;2024-06-03;173.906.375-95;Aluno_Tech_1289;Anual;04538133;899,00
TX-50008;2024-10-07;76742662905;Aluno_Tech_723;Básico;01001000;49,90
TX-50009;2024-12-04;086.665.622-77;Aluno_Tech_2386;Premium;80010010;99,90
TX-50010;12/05/2024;612.087.805-06;Aluno_Tech_1478;Anual;69010000;899,00
TX-50011;2024-05-06;778.735.856-46;Aluno_Tech_2228;Básico;30140071;49,90
TX-50012;2024-06-11;06592088141;Aluno_Tech_2245;Básico;01001000;49,90
TX-50013;12/03/2024;887.676.772-07;Aluno_Tech_297;Básico;20031050;49,90
TX-50014;07/11/2024;097.289.623-63;Aluno_Tech_212;Básico;20031050;49,90
TX-50015;24/11/2024;59946418398;Aluno_Tech_2254;Premium;30140071;99,90
TX-50016;2024-08-11;193.500.115-90;Aluno_Tech_2853;Básico;60060440;49,90
TX-50017;21/02/2024;024.808.557-32;Aluno_Tech_2409;Anual;04538133;899,00
TX-50018;2024-04-18;040.142.473-17;Aluno_Tech_1592;Básico;60060440;49,90
TX-50019;2024-05-25;783.769.389-24;Aluno_Tech_569;Anual;60060440;899,00
TX-50020;10/02/2024;42653793202;Aluno_Tech_2879;Premium;90010150;99,90
TX-50021;2024-07-10;423.642.813-00;Aluno_Tech_1662;Anual;70040010;899,00
TX-50022;20/04/2024;94811266412;Aluno_Tech_2754;Anual;20031050;899,00
TX-50023;2024-11-23;77959959420;Aluno_Tech_902;Premium;60060440;99,90
TX-50024;2024-10-11;151.602.529-67;Aluno_Tech_1343;Básico;50010000;49,90
